Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
YI,"111, Inc.",6.5,$530.04M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",4.406,$26.4M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,,NASDAQ
PIHPP,"1347 Property Insurance Holdings, Inc.",23.6,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,,NASDAQ
TURN,180 Degree Capital Corp.,1.9099,$59.44M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",12.64,$811.21M,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,,NASDAQ
FCCY,1st Constitution Bancorp (NJ),19.03,$159.93M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,,NASDAQ
SRCE,1st Source Corporation,43.18,$1.12B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,,NASDAQ
VNET,"21Vianet Group, Inc.",9.47,$1.06B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,,NASDAQ
TWOU,"2U, Inc.",55.39,$3.21B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,,NASDAQ
QFIN,"360 Finance, Inc.",16.5,$2.37B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qfin,,NASDAQ
TPNL,"3PEA International, Inc.",3.59,$166.58M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,,NASDAQ
JOBS,"51job, Inc.",68.49,$4.23B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,,NASDAQ
AAON,"AAON, Inc.",35.3,$1.84B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,,NASDAQ
ABEO,Abeona Therapeutics Inc.,7.365,$353.11M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,,NASDAQ
ABEOW,Abeona Therapeutics Inc.,3.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,,NASDAQ
ABIL,Ability Inc.,2.24,$8.21M,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,,NASDAQ
ABMD,"ABIOMED, Inc.",316.19,$14.24B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,,NASDAQ
AXAS,Abraxas Petroleum Corporation,1.25,$208.26M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,,NASDAQ
ACIU,AC Immune SA,11.19,$753.79M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,,NASDAQ
ACIA,"Acacia Communications, Inc.",41.01,$1.66B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,,NASDAQ
ACTG,Acacia Research Corporation,2.99,$148.42M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",28.93,$2.55B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,17.67,$2.21B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,,NASDAQ
ACST,"Acasti Pharma, Inc.",0.66,$51.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",12.89,$698.62M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,,NASDAQ
XLRN,Acceleron Pharma Inc.,45.3,$2.09B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,,NASDAQ
ANCX,Access National Corporation,22.45,$469.94M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx,,NASDAQ
ARAY,Accuray Incorporated,3.78,$327.57M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.78,$172.1M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,,NASDAQ
ACER,Acer Therapeutics Inc.,17.88,$179.75M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,,NASDAQ
ACET,Aceto Corporation,1.39,$42.76M,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet,,NASDAQ
AKAO,"Achaogen, Inc.",1.62,$74.71M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,,NASDAQ
ACHV,"Achieve Life Sciences, Inc. ",1.45,$9.75M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",3.11,$431.1M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,,NASDAQ
ACIW,"ACI Worldwide, Inc.",27.47,$3.19B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",7.31,$299.24M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,,NASDAQ
ACMR,"ACM Research, Inc.",10.41,$166.6M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,,NASDAQ
ACNB,ACNB Corporation,36.21,$255M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",16.18,$769.49M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,,NASDAQ
ATVI,"Activision Blizzard, Inc",47.75,$36.44B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",9.3,$254.22M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,2.81,$132.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,,NASDAQ
ADAP,Adaptimmune Therapeutics plc,5.16,$539.58M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,,NASDAQ
ADUS,Addus HomeCare Corporation,72.94,$955.39M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.29,$13.29M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,,NASDAQ
IOTS,Adesto Technologies Corporation,4.76,$140.11M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,,NASDAQ
ADIL,"Adial Pharmaceuticals, Inc",3.8,$24.91M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,,NASDAQ
ADILW,"Adial Pharmaceuticals, Inc",0.5001,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,,NASDAQ
ADMA,ADMA Biologics Inc,4.53,$209.97M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,,NASDAQ
ADBE,Adobe Inc.,230,$112.27B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,,NASDAQ
ADOM,"ADOMANI, Inc.",0.37,$26.91M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,,NASDAQ
ADTN,"ADTRAN, Inc.",11.52,$548.93M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,,NASDAQ
ADRO,"Aduro Biotech, Inc.",2.74,$217.57M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",10.47,$208.52M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",41.01,$1.58B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,,NASDAQ
AMD,"Advanced Micro Devices, Inc.",19.9,$19.89B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,,NASDAQ
ADXS,"Advaxis, Inc.",0.2382,$16.55M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",3.59,$225.7M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,,NASDAQ
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,19.8141,$2.97M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc,,NASDAQ
DWSH,AdvisorShares Dorsey Wright Short ETF,29.7024,$14.11M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh,,NASDAQ
ACT,AdvisorShares Vice ETF,22.8399,$12.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,,NASDAQ
AEGN,Aegion Corp,17.3,$559.03M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,,NASDAQ
AGLE,"Aeglea BioTherapeutics, Inc.",7.5,$179.72M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,,NASDAQ
AEHR,Aehr Test Systems,1.63,$36.26M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,,NASDAQ
AMTX,"Aemetis, Inc",0.651,$13.24M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,,NASDAQ
AERI,"Aerie Pharmaceuticals, Inc.",38.22,$1.74B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,,NASDAQ
AVAV,"AeroVironment, Inc.",75.41,$1.8B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,,NASDAQ
ARPO,"Aerpio Pharmaceuticals, Inc.",2.04,$82.8M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,,NASDAQ
AEZS,AEterna Zentaris Inc.,2.85,$46.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,,NASDAQ
AEMD,"Aethlon Medical, Inc.",1.327,$24.31M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,,NASDAQ
GNMX,"Aevi Genomic Medicine, Inc.",1.21,$78.37M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,,NASDAQ
AFMD,Affimed N.V.,3.41,$212.88M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,,NASDAQ
AGEN,Agenus Inc.,2.42,$290.36M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,,NASDAQ
AGRX,"Agile Therapeutics, Inc.",0.74,$25.44M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,,NASDAQ
AGYS,"Agilysys, Inc.",15.53,$365.39M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.",51.53,$3B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,,NASDAQ
AGMH,AGM Group Holdings Inc.,32.2759,$1.07B,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,,NASDAQ
AGNC,AGNC Investment Corp.,18.02,$9.41B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,,NASDAQ
AGNCB,AGNC Investment Corp.,25.58,$8.86B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,,NASDAQ
AGNCN,AGNC Investment Corp.,25.39,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,,NASDAQ
AGFS,"AgroFresh Solutions, Inc.",3.85,$194.19M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,,NASDAQ
AGFSW,"AgroFresh Solutions, Inc.",0.1573,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,,NASDAQ
ALRN,"Aileron Therapeutics, Inc.",1.2,$17.7M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,,NASDAQ
AIMT,"Aimmune Therapeutics, Inc.",22.82,$1.41B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,,NASDAQ
AIRT,"Air T, Inc.",26.6833,$54.16M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,,NASDAQ
ATSG,"Air Transport Services Group, Inc",17.56,$1.04B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,,NASDAQ
AIRG,"Airgain, Inc.",11.22,$111.24M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,,NASDAQ
AMCN,AirMedia Group Inc,0.2131,$13.39M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn,,NASDAQ
AKAM,"Akamai Technologies, Inc.",65.1,$10.6B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,,NASDAQ
AKTX,Akari Therapeutics Plc,1.77,$27M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,,NASDAQ
AKCA,"Akcea Therapeutics, Inc.",31.16,$2.78B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",7.63,$435.36M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,,NASDAQ
AKER,Akers Biosciences Inc.,1.16,$14.47M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,,NASDAQ
AKRX,"Akorn, Inc.",4.42,$554.68M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,,NASDAQ
AKTS,"Akoustis Technologies, Inc.",5.36,$158.79M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",53.09,$2.55B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",1.5,$79.78M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,,NASDAQ
ALAC,Alberton Acquisition Corporation,9.77,$143.52M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac,,NASDAQ
ALACR,Alberton Acquisition Corporation,0.25,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,,NASDAQ
ALACU,Alberton Acquisition Corporation,10.03,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,,NASDAQ
ALACW,Alberton Acquisition Corporation,0.1,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,,NASDAQ
ALBO,"Albireo Pharma, Inc.",23.5,$281.29M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,,NASDAQ
ABDC,Alcentra Capital Corp.,6.66,$90.02M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",11.11,$759.11M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",9.46,$248.27M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",109.43,$24.41B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,,NASDAQ
ALCO,"Alico, Inc.",32.25,$240.42M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,,NASDAQ
ALGN,"Align Technology, Inc.",215.57,$17.24B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,,NASDAQ
ALIM,"Alimera Sciences, Inc.",0.98,$68.68M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,,NASDAQ
ALYA,Alithya Group inc.,3.65,$176.68M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,,NASDAQ
ALJJ,"ALJ Regional Holdings, Inc.",1.56,$59.16M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,,NASDAQ
ALKS,Alkermes plc,32.82,$5.1B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,,NASDAQ
ALLK,Allakos Inc.,60.7,$2.56B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,,NASDAQ
ABTX,"Allegiance Bancshares, Inc.",32.4,$707.2M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,,NASDAQ
ALGT,Allegiant Travel Company,118.44,$1.91B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,,NASDAQ
ALGR,Allegro Merger Corp.,9.75,$185.84M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,,NASDAQ
ALGRR,Allegro Merger Corp.,0.29,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,,NASDAQ
ALGRU,Allegro Merger Corp.,10.29,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,,NASDAQ
ALGRW,Allegro Merger Corp.,0.3299,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,,NASDAQ
ALNA,"Allena Pharmaceuticals, Inc.",7.52,$156.12M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,,NASDAQ
AMMA,"Alliance MMA, Inc.",0.1943,$3.4M,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma,,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",19.6,$2.55B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",1.97,$7.91M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",47.3,$448.23M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,,NASDAQ
ALQA,"Alliqua BioMedical, Inc.",2.69,$13.46M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa,,NASDAQ
ALLO,"Allogene Therapeutics, Inc.",26.22,$3.19B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,,NASDAQ
ALLT,Allot Communications Ltd.,6.67,$224.87M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",10.39,$1.82B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",77.13,$7.79B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,10.17,$241.92M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,,NASDAQ
GOOG,Alphabet Inc.,1042.1,$724.75B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,,NASDAQ
GOOGL,Alphabet Inc.,1051.71,$731.43B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,,NASDAQ
SMCP,AlphaMark Actively Managed Small Cap ETF,22.19,$22.19M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp,,NASDAQ
ATEC,"Alphatec Holdings, Inc.",2.51,$108.46M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,,NASDAQ
ALPN,"Alpine Immune Sciences, Inc.",4.8,$66.49M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,,NASDAQ
AMR,"Alta Mesa Resources, Inc.",1.25,$476.1M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,,NASDAQ
AMRWW,"Alta Mesa Resources, Inc.",0.108,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,,NASDAQ
AABA,Altaba Inc.,62.01,$37.37B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,,NASDAQ
ALTR,Altair Engineering Inc.,27.4,$1.93B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,,NASDAQ
ALT,"Altimmune, Inc.",2.15,$18.82M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,21.46,$357.83M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,,NASDAQ
AIMC,Altra Industrial Motion Corp.,26.18,$1.69B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,,NASDAQ
ALTM,Altus Midstream Company,8.73,$2.84B,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/altm,,NASDAQ
ALTMW,Altus Midstream Company,0.78,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/altmw,,NASDAQ
ALZH,"Alzheon, Inc.",n/a,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alzh,,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",16.8,$580.2M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,,NASDAQ
AMAL,Amalgamated Bank,18.5,$587.77M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,,NASDAQ
AMRN,Amarin Corporation plc,16.06,$5.24B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",12.55,$88.24M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,,NASDAQ
AMZN,"Amazon.com, Inc.",1591.91,$778.39B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,,NASDAQ
AMBC,"Ambac Financial Group, Inc.",15.85,$718.58M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",7.8725,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,,NASDAQ
AMBA,"Ambarella, Inc.",37.61,$1.21B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,,NASDAQ
AMCX,AMC Networks Inc.,56.57,$3.2B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,,NASDAQ
AMCIU,AMCI Acquisition Corp.,10,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,,NASDAQ
DOX,Amdocs Limited,59.56,$8.31B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,,NASDAQ
AMED,Amedisys Inc,124.24,$3.96B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,,NASDAQ
UHAL,Amerco,344.49,$6.75B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,,NASDAQ
AMRH,"Ameri Holdings, Inc.",0.2318,$9.18M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,,NASDAQ
AMRHW,"Ameri Holdings, Inc.",0.04,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",5.6,$338.91M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,,NASDAQ
AAL,"American Airlines Group, Inc.",32.41,$14.93B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,,NASDAQ
AETI,"American Electric Technologies, Inc.",0.89,$7.98M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti,,NASDAQ
AFIN,"American Finance Trust, Inc.",13.12,$1.39B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin,,NASDAQ
AMNB,"American National Bankshares, Inc.",32.18,$280.43M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb,,NASDAQ
ANAT,American National Insurance Company,123.15,$3.31B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat,,NASDAQ
AOBC,American Outdoor Brands Corporation,12.73,$694.29M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc,,NASDAQ
APEI,"American Public Education, Inc.",29.02,$476.63M,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei,,NASDAQ
AMRB,American River Bankshares,12.06,$70.78M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb,,NASDAQ
AMSWA,"American Software, Inc.",9.94,$307.71M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa,,NASDAQ
AMSC,American Superconductor Corporation,11.62,$248.25M,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc,,NASDAQ
AMWD,American Woodmark Corporation,58.65,$1.01B,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd,,NASDAQ
CRMT,"America&#39;s Car-Mart, Inc.",70.61,$478.44M,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt,,NASDAQ
ABCB,Ameris Bancorp,34.02,$1.62B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,,NASDAQ
AMSF,"AMERISAFE, Inc.",60.27,$1.16B,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf,,NASDAQ
ASRV,AmeriServ Financial Inc.,4.1,$72.76M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv,,NASDAQ
ASRVP,AmeriServ Financial Inc.,28.25,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp,,NASDAQ
ATLO,Ames National Corporation,25.7,$239.29M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo,,NASDAQ
AMGN,Amgen Inc.,192.07,$122.39B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn,,NASDAQ
FOLD,"Amicus Therapeutics, Inc.",10.51,$1.99B,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold,,NASDAQ
AMKR,"Amkor Technology, Inc.",6.37,$1.53B,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr,,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",20.32,$936.72M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph,,NASDAQ
