Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
PEI^C,Pennsylvania Real Estate Investment Trust,18,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pei^c,,NYSE
PEI^D,Pennsylvania Real Estate Investment Trust,18.04,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pei^d,,NYSE
PFSI,"PennyMac Financial Services, Inc.",21.64,$544.95M,2013,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pfsi,,NYSE
PMT,PennyMac Mortgage Investment Trust,20.64,$1.26B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pmt,,NYSE
PMT^A,PennyMac Mortgage Investment Trust,24.54,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pmt^a,,NYSE
PMT^B,PennyMac Mortgage Investment Trust,24.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pmt^b,,NYSE
PAG,"Penske Automotive Group, Inc.",38.86,$3.3B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/pag,,NYSE
PNR,Pentair plc.,39.11,$6.79B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/pnr,,NYSE
PEN,"Penumbra, Inc.",125.4,$4.33B,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/pen,,NYSE
PFGC,Performance Food Group Company,33.82,$3.56B,2015,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/pfgc,,NYSE
PKI,"PerkinElmer, Inc.",83.73,$9.31B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/pki,,NYSE
PBT,Permian Basin Royalty Trust,6.39,$297.83M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pbt,,NYSE
PVL,Permianville Royalty Trust,2.33,$76.89M,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pvl,,NYSE
PRT,PermRock Royalty Trust,7.65,$93.07M,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/prt,,NYSE
PRGO,Perrigo Company,56.99,$7.74B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prgo,,NYSE
PRSP,Perspecta Inc.,20.2,$3.32B,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/prsp,,NYSE
PTR,PetroChina Company Limited,68.2,$124.82B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ptr,,NYSE
PBR,Petroleo Brasileiro S.A.- Petrobras,13.4,$87.4B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pbr,,NYSE
PBR.A,Petroleo Brasileiro S.A.- Petrobras,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pbr.a,,NYSE
PFE,"Pfizer, Inc.",43.8,$253.18B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfe,,NYSE
GHY,"PGIM Global Short Duration High Yield Fund, Inc.",13.22,$541.01M,2012,n/a,n/a,https://www.nasdaq.com/symbol/ghy,,NYSE
ISD,"PGIM Short Duration High Yield Fund, Inc.",13.31,$442.65M,2012,n/a,n/a,https://www.nasdaq.com/symbol/isd,,NYSE
PGTI,"PGT Innovations, Inc.",16.41,$950.8M,2006,Capital Goods,Building Products,https://www.nasdaq.com/symbol/pgti,,NYSE
PM,Philip Morris International Inc,82.5,$128.25B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pm,,NYSE
PSX,Phillips 66,86.83,$40.04B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/psx,,NYSE
PSXP,Phillips 66 Partners LP,47.31,$5.86B,2013,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/psxp,,NYSE
FENG,Phoenix New Media Limited,3.32,$241.58M,2011,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/feng,,NYSE
DOC,Physicians Realty Trust,17.22,$3.14B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/doc,,NYSE
PDM,"Piedmont Office Realty Trust, Inc.",17.92,$2.3B,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/pdm,,NYSE
PIR,"Pier 1 Imports, Inc.",1.15,$98M,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/pir,,NYSE
PCQ,PIMCO California Municipal Income Fund,16.31,$306.22M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pcq,,NYSE
PCK,Pimco California Municipal Income Fund II,8.11,$259.5M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pck,,NYSE
PZC,PIMCO California Municipal Income Fund III,9.9,$220.62M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pzc,,NYSE
PCM,"PIMCO Commercial Mortgage Securities Trust, Inc.",10.06,$116.55M,1993,n/a,n/a,https://www.nasdaq.com/symbol/pcm,,NYSE
